Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2015,S.U. College at Old Westbury,Comprehensive Colleges,695,465,230,345,161,184,208,165,43,142,139,3
2015,S.U. College at Oneonta,Comprehensive Colleges,1148,877,271,466,281,185,356,279,77,326,317,9
2015,S.U. College at Oswego,Comprehensive Colleges,1478,1078,400,615,359,256,419,282,137,444,437,7
2015,S.U. College at Plattsburgh,Comprehensive Colleges,1114,816,298,451,283,168,345,230,115,318,303,15
2015,S.U. College at Potsdam,Comprehensive Colleges,825,667,158,347,237,110,233,197,36,245,233,12
2015,S.U. College at Purchase,Comprehensive Colleges,1079,643,436,442,177,265,373,218,155,264,248,16
2015,Suffolk County Community College,Community Colleges,2738,1060,1678,1557,320,1237,711,363,348,470,377,93
2015,Sullivan County Community College,Community Colleges,220,136,84,100,47,53,83,52,31,37,37,0
2015,SUNY at Albany,Doctoral Institutions,3924,2285,1639,1106,640,466,2024,897,1127,794,748,46
2015,SUNY at Binghamton,Doctoral Institutions,3520,2104,1416,970,665,305,1573,617,956,977,822,155
2015,SUNY at Buffalo,Doctoral Institutions,6730,4428,2302,2452,1645,807,3016,1607,1409,1262,1176,86
2015,SUNY at Stony Brook,Doctoral Institutions,12803,9698,3105,2622,1819,803,7662,5675,1987,2519,2204,315
2015,SUNY Coll/Env Sci & Forestry,Doctoral Institutions,584,353,231,168,124,44,279,111,168,137,118,19
2015,SUNY Empire State College,Comprehensive Colleges,1604,664,940,1066,183,883,235,210,25,303,271,32
2015,SUNY Maritime College,Technology Colleges,360,265,95,148,87,61,119,91,28,93,87,6
2015,SUNY Polytechnic Institute,Doctoral Institutions,598,362,236,277,137,140,207,116,91,114,109,5
2015,System Administration,SUNY System ,536,457,79,4,0,4,369,345,24,163,112,51
2015,Tompkins-Cortland Community College,Community Colleges,461,239,222,278,61,217,94,92,2,89,86,3
2015,Ulster County Community College,Community Colleges,362,173,189,209,80,129,70,47,23,83,46,37
2015,Upstate Medical Center,Doctoral Institutions,6718,5380,1338,603,399,204,4625,3749,876,1490,1232,258
2015,Westchester Community College,Community Colleges,1416,525,891,1016,181,835,276,224,52,124,120,4
2014,Adirondack Community College,Community Colleges,449,223,226,272,92,180,101,64,37,76,67,9
2014,Broome Community College,Community Colleges,790,398,392,436,162,274,199,120,79,155,116,39
2014,Cayuga County Community College,Community Colleges,441,168,273,236,50,186,119,73,46,86,45,41
2014,Clinton Community College,Community Colleges,211,122,89,116,50,66,63,47,16,32,25,7
2014,College of Tech & Ag at Cobleskill,Technology Colleges,531,382,149,189,100,89,186,131,55,156,151,5
2014,College of Tech & Ag at Morrisville,Technology Colleges,604,444,160,244,144,100,181,135,46,179,165,14
2014,College of Tech at Alfred,Technology Colleges,609,519,90,229,167,62,173,147,26,207,205,2
2014,College of Tech at Canton,Technology Colleges,535,387,148,225,125,100,184,139,45,126,123,3
2014,College of Tech at Delhi,Technology Colleges,546,383,163,248,138,110,138,108,30,160,137,23
2014,College of Tech at Farmingdale,Technology Colleges,1319,634,685,709,217,492,343,205,138,267,212,55
2014,Columbia-Greene Community College,Community Colleges,276,142,134,117,47,70,84,53,31,75,42,33
2014,Cornell Statutory Colleges,Doctoral Institutions,4389,3385,1004,1247,1139,108,2063,1227,836,1079,1019,60
2014,Corning Community College,Community Colleges,489,272,217,246,87,159,83,83,0,160,102,58
2014,Downstate Medical Center,Doctoral Institutions,3952,3621,331,670,513,157,2389,2236,153,893,872,21
2014,Dutchess Community College,Community Colleges,945,330,615,604,125,479,187,104,83,154,101,53
2014,Erie Community College,Community Colleges,1663,778,885,828,326,502,336,232,104,499,220,279
2014,Fashion Institute of Technology,Community Colleges,1673,785,888,970,232,738,369,287,82,334,266,68
2014,Finger Lakes Community College,Community Colleges,610,320,290,379,116,263,139,120,19,92,84,8
2014,Fulton-Montgomery Community College,Community Colleges,359,161,198,128,57,71,181,54,127,50,50,0
2014,Genesee Community College,Community Colleges,679,295,384,348,90,258,214,118,96,117,87,30
2014,Herkimer County Community College,Community Colleges,334,203,131,163,68,95,78,78,0,93,57,36
2014,Hudson Valley Community College,Community Colleges,1093,591,502,610,226,384,232,159,73,251,206,45
2014,Jamestown Community College,Community Colleges,571,233,338,351,78,273,101,81,20,119,74,45
2014,Jefferson Community College,Community Colleges,427,221,206,245,83,162,114,79,35,68,59,9
2014,Mohawk Valley Community College,Community Colleges,878,446,432,404,145,259,320,170,150,154,131,23
2014,Monroe Community College,Community Colleges,1805,924,881,882,315,567,467,314,153,456,295,161
2014,Nassau Community College,Community Colleges,2588,1112,1476,1591,497,1094,537,294,243,460,321,139
2014,Niagara County Community College,Community Colleges,712,311,401,414,110,304,175,92,83,123,109,14
2014,North Country Community College,Community Colleges,154,92,62,102,40,62,36,36,0,16,16,0
2014,N.Y. State College of Ceramics,Doctoral Institutions,146,132,14,55,47,8,52,46,6,39,39,0
2014,Onondaga Community College,Community Colleges,1291,603,688,645,177,468,416,244,172,230,182,48
2014,Orange County Community College,Community Colleges,1267,461,806,467,177,290,447,126,321,353,158,195
2014,Rockland Community College,Community Colleges,940,402,538,493,115,378,245,140,105,202,147,55
2014,Schenectady County Community College,Community Colleges,610,230,380,320,74,246,216,96,120,74,60,14
2014,State College of Optometry,Doctoral Institutions,350,264,86,122,57,65,130,113,17,98,94,4
2014,S.U. College at Brockport,Comprehensive Colleges,1396,970,426,628,346,282,406,287,119,362,337,25
2014,S.U. College at Buffalo,Comprehensive Colleges,1868,1226,642,840,387,453,582,421,161,446,418,28
